Question,Answer
How many years of work experience do you have using Amazon Web Services (AWS)?,1
Have you completed the following level of education: Doctor of Law?,No
What is your level of proficiency in eng?,Professional
How many years of work experience do you have using Microsoft Office?,2
How many years of urn:li:industry:102 experience do you currently have?,1
How many years of work experience do you have using Amazon Lex?,0
How many years of work experience do you have using Microsoft Azure?,0
How many years of work experience do you have using Machine Tools?,1
How many years of PRDM experience do you currently have?,0
How many years of work experience do you have using Gitlab?,1
How many years of work experience do you have using Microsoft Power BI?,1
How many years of work experience do you have using Gloves?,0
How many years of work experience do you have using Microsoft Azure Machine Learning?,1
How many years of work experience do you have using Time Series Analysis?,1
How many years of work experience do you have using Apache?,0
How many years of work experience do you have using IBM SPSS?,0
Have you completed the following level of education: Doctor of Philosophy?,No
How many years of work experience do you have using Blogger?,1
How many years of work experience do you have using NoSQL?,1
How many years of work experience do you have using Docker Products?,0
How many years of work experience do you have using Jupyter?,2
Do you have the following license or certification: Introduction to Programming Using Python?,Yes
How many years of work experience do you have using Theano?,0
How many years of work experience do you have using Scala?,0
How many years of work experience do you have using Java?,1
How many years of work experience do you have using Adobe Acrobat?,1
How many years of work experience do you have using Laptops?,2
Description,
Major / Field of study,
Website,
How many years of work experience do you have using Swift (Programming Language)?,0
How many years of work experience do you have using iOS?,0
How many years of work experience do you have using Hive?,0
Do you have the following license or certification: GIAC Python Coder?,No
How many years of work experience do you have using NVIDIA cuDNN?,1
How many years of work experience do you have using Data Science?,2
How many years of work experience do you have using jQuery?,0
How many years of work experience do you have using Databases?,2
How many years of work experience do you have using AWS SageMaker?,0
How many years of work experience do you have using Statsmodels?,1
How many years of urn:li:industry:103 experience do you currently have?,1
How many years of work experience do you have using Pattern Recognition?,2
How many years of work experience do you have using D3.js?,0
How many years of work experience do you have using Business Intelligence (BI)?,1
How many years of work experience do you have using BERT?,1
State / Province,
First name,
How many years of work experience do you have using Jenkins?,0
How many years of work experience do you have using Simulink?,0
How many years of work experience do you have using Git?,2
How many years of work experience do you have using Hyper-V?,0
How many years of work experience do you have using .NET Core?,0
School,
How many years of work experience do you have using SAP ERP?,0
How many years of work experience do you have using Xcode?,0
Do you speak English?,Yes
How many years of work experience do you have using Geographic Information Systems (GIS)?,0
Do you speak Marathi?,No
How many years of work experience do you have using Tableau?,2
City,
How many years of work experience do you have using Open Source Software?,1
How many years of work experience do you have using JavaScript?,0
How many years of work experience do you have using PyTorch?,1
How many years of work experience do you have using AWS Lambda?,0
How many years of work experience do you have using Firmware?,0
"Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?",Yes
How many years of work experience do you have using Blockchain?,0
How many years of work experience do you have using Data Analytics?,1
How many years of work experience do you have using 3D Modeling?,0
Country,
How many years of work experience do you have using Deeplearning4j?,1
How many years of work experience do you have using Keras?,2
How many years of work experience do you have using Machine Learning?,3
How many years of work experience do you have using C++?,1
How many years of work experience do you have using Embedded Systems?,0
How many years of work experience do you have using React.js?,0
What is your level of proficiency in tel?,None
How many years of work experience do you have using Transact-SQL (T-SQL)?,1
How many years of work experience do you have using React Native?,0
How many years of work experience do you have using R (Programming Language)?,0
How many years of work experience do you have using Microsoft Excel?,2
Your title,
Please submit a resume or LinkedIn profile,3922663.pdf
Street address line 1,
How many years of work experience do you have using Random Forest?,1
How many years of work experience do you have using Predictive Modeling?,2
How many years of work experience do you have using YouTube?,1
How many years of work experience do you have using Speech Recognition?,2
How many years of work experience do you have using MATLAB?,0
How many years of work experience do you have using Drone Mapping?,0
